Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
Boston metal,Recycled Metals,nan,"tensor(0.4656, device='mps:0')","Metals made better Boston Metal is a global metals technology solutions company that is commercializing Molten Oxide Electrolysis (MOE), a patented tonnage metals production platform. MOE provides the metals industry with a more efficient, lower cost, and greener solution for the production of a wide variety of metals and alloys from a wide variety of feedstocks. Boston Metal works closely with customers to tailor the MOE technology for specific alloys, feedstocks, and business needs. Today, the steel industry is the largest industrial source of CO2 emissions because of a reliance on coal. Boston Metal removes coal from the process, driving CO2 emissions to zero and providing substantial OPEX and CAPEX savings. Boston Metal’s headquarters and industrial development center are located in Woburn, MA, USA. Boston Metal is supported by world-class investors, including Breakthrough Energy Ventures, OGCI Climate Investments, Prelude Ventures, and The Engine.",Metals that have been processed and repurposed from post-consumer or post-industrial waste.,https://www.bostonmetal.com
Modumetal,Recycled Metals,nan,"tensor(0.3045, device='mps:0')","Modumetal is a technology company developing, manufacturing and licensing advanced nanolaminate materials to outperform conventional metal.",Metals that have been processed and repurposed from post-consumer or post-industrial waste.,https://www.modumetal.com
Kobold metals,Recycled Metals,nan,"tensor(0.3029, device='mps:0')",KoBold Metals is a developer of machine prospector technology that facilitates a search for cobalt ore locations digitally.,Metals that have been processed and repurposed from post-consumer or post-industrial waste.,https://www.koboldmetals.com
Searles valley minerals,Recycled Metals,nan,"tensor(0.2989, device='mps:0')","Searles Valley Minerals is a mining & metals company offering boric acid, sodium carbonate, and sodium sulfate.",Metals that have been processed and repurposed from post-consumer or post-industrial waste.,https://www.svminerals.com
Tree zero paper,Recycled Paper,nan,"tensor(0.6353, device='mps:0')","TreeZero Paper is an innovative and sustainable paper products company offering 100% tree free, carbon neutral multipurpose copy paper.","Paper products made from recovered paper waste, reducing deforestation and energy consumption.",https://www.treezero.com
Cloud paper,Recycled Paper,nan,"tensor(0.6314, device='mps:0')",Cloud Paper is a tree-free paper manufacturer that makes paper products made with 100% bamboo.,"Paper products made from recovered paper waste, reducing deforestation and energy consumption.",https://www.cloudpaper.co
Stora enso,Recycled Paper,nan,"tensor(0.5222, device='mps:0')","Leading provider of renewable solutions in packaging, biomaterials, wood, and paper on global markets.","Paper products made from recovered paper waste, reducing deforestation and energy consumption.",https://www.storaenso.com
Nature coatings,Recycled Paper,nan,"tensor(0.5019, device='mps:0')","Nature Coatings transforms wood waste into high performing black pigments. Nature Coatings transforms wood waste into high performing black pigments. The wood waste is sourced from sustainable FSC certified forests. Our manufacturing process is closed-loop and a circular system. No external energy is required to run the equipment, and our process does not emit any CO2 or other greenhouse gases. Nature Coatings’ pigments are designed for industry. They are cost competitive. They are easy to use with existing equipment and water based formulas and do not require any upfront capital expenditure. Additionally, they stay far ahead of any global restricted substance lists, known as RSLs. Our pigments do not fade in the sun and do not “bronze” or turn brown at high or low concentrations. Our pigments are suitable for multiple applications including, but not limited to, screen printing, rotary printing, digital inkjet printing, coatings, dope dye, airbrush, resin casting and wood coloring.","Paper products made from recovered paper waste, reducing deforestation and energy consumption.",https://www.naturecoatingsinc.com
Recarbon - italy,Recycled Paper,Waste-to-Energy,"tensor(0.5002, device='mps:0')",Recarbon manufactures and distributes intermediate products based on recycled carbon fibres and thermoplastic matrices.,"Paper products made from recovered paper waste, reducing deforestation and energy consumption.",https://www.recarbon.it
Recycling technologies,Recycled Plastics,nan,"tensor(0.5746, device='mps:0')",Changing the story of plastic with Feedstock Recycling. Recycling Technologies is tackling one of the planet’s most pressing environmental problems by turning end-of-life plastic into Plaxx®.,"Plastics derived from processed post-consumer plastic waste, reducing the need for virgin plastic production.",https://www.recyclingtechnologies.co.uk
Banyan nation,Recycled Plastics,nan,"tensor(0.5576, device='mps:0')",Unlocking circular economy and the market for premium recycled plastics in India through technology innovations across the value chain,"Plastics derived from processed post-consumer plastic waste, reducing the need for virgin plastic production.",https://www.banyannation.com
Ecoware (new zealand),Recycled Plastics,nan,"tensor(0.5025, device='mps:0')","Packaging made from plants. Empowering the hospitality industry to reduce environmental impact through renewable, compostable packaging solutions.","Plastics derived from processed post-consumer plastic waste, reducing the need for virgin plastic production.",https://www.ecoware.co.nz
Polymem,Recycled Plastics,nan,"tensor(0.3663, device='mps:0')",Polymem specializing in Hollow Fiber membrane manufacturing.,"Plastics derived from processed post-consumer plastic waste, reducing the need for virgin plastic production.",https://www.polymem.fr/en/research-and-development
Blue lake,Recycled Plastics,nan,"tensor(0.3656, device='mps:0')","a fiber-based sustainable packaging solution provider We develop proprietary, 100% fiber-based materials, design, and deliver sustainable packaging products and solutions.","Plastics derived from processed post-consumer plastic waste, reducing the need for virgin plastic production.",https://www.bluelakepackaging.com
Iq energy,Recycling,nan,"tensor(0.6235, device='mps:0')","Redeeming Waste Our vision of creating clean energy by redeeming waste, was birthed while seeking to solve big problems in the developing world. We were struck by the amount of rubbish on the streets, in sewers and drains, in rivers and waterways, farms and forests. Sadly, much of this waste finds its way into the environment or being burnt in the open.","The process of converting waste materials into new materials and objects, reducing resource extraction and energy consumption.",https://www.iq-energy.com.au
Worn again technologies,Recycling,nan,"tensor(0.5738, device='mps:0')","A world where resources are kept in constant circulation, driving economic, social and environmental benefits. Worn Again Technologies was born from a vision to eradicate textile waste and a world where resources are kept in constant circulation. Our advanced recycling technology that recaptures raw materials from non-reusable products (textiles, PET bottles and packaging) is being brought to life by an expert team and strategic partners who have a shared ambition of creating a circular world. It’s our Mission to replace the use of virgin resources by recapturing raw materials from non-reusable products. We exist to propel the shift to a circular economy.","The process of converting waste materials into new materials and objects, reducing resource extraction and energy consumption.",https://www.wornagain.co.uk
Ubq materials,Recycling,nan,"tensor(0.5731, device='mps:0')","Converting organic household waste into sustainable bio-based materials. UBQ has developed a revolutionary solution that converts Residual Municipal Solid Waste (RMSW) that is destined for landfills into patented UBQTM material. Through a proprietary process, the mixed waste stream – containing organic elements like food waste, garden trimmings, paper, cardboard, diapers, dirty plastics, and packaging materials – is converted into an entirely homogeneous composite material (UBQTM) that can be utilized by industry.","The process of converting waste materials into new materials and objects, reducing resource extraction and energy consumption.",https://www.ubqmaterials.com
